subject,ddt_logk
302,-1.002512455
303,-2.305297136
304,-2.077237606
305,-0.868599951
306,-1.719691157
307,-1.002262712
308,-2.154597998
309,-2.087578535
310,-1.959786534
311,-0.880200982
312,-2.145294428
313,-1.337709546
314,-0.940499008
315,-2.202310562
316,-1.819366574
317,-1.46656096
318,-1.837975502
319,-1.046818733
320,-1.882360697
321,-3.396545172
322,-1.000392556
323,-2.077994108
324,-1.513848662
325,-1.03817606
326,-2.11230278
327,-1.834884405
328,-0.144576892
329,-1.715462327
330,-1.603060007
331,-2.394750357
332,-1.840353131
333,-1.713773608
334,-1.000392556
335,-1.077185154
336,-2.448367119
337,-1.904907584
338,-2.071704626
339,-1.840353131
340,-1.053899407
341,-1.207736373
342,-2.117341757
343,-2.07642293
344,-1.959830761
345,-1.936638832
346,-1.497268915
347,-1.910045505
348,-0.878901005
