subject,sex,age_month,birth_year,birth_month,edu_year,bis_l1_attention,bis_l1_cog_instab,bis_l1_motor,bis_l1_perserverance,bis_l1_self_control,bis_l1_cog_compl,bis_l2_cog_imp,bis_l2_motor_imp,bis_l2_nonplanning_imp,bis_total
302,Male,346,1993,4,15,10,10,18,7,15,13,20,25,28,73
303,Female,275,1999,3,16,14,10,18,8,17,15,24,26,32,82
304,Male,290,1997,12,15,9,6,13,6,12,11,15,19,23,57
305,Male,294,1997,8,15,6,3,11,9,11,11,9,20,22,51
306,Male,286,1998,4,14,7,8,16,6,10,8,15,22,18,55
307,Female,274,1999,4,15,9,6,13,5,12,5,15,18,17,50
308,Female,265,2000,1,15,8,5,13,7,13,14,13,20,27,60
309,Female,253,2001,1,15,13,7,13,8,12,10,20,21,22,63
310,Female,398,1988,12,19,9,6,11,6,13,12,15,17,25,57
311,Female,273,1999,5,15,10,5,14,8,10,11,15,22,21,58
312,Male,296,1997,6,15,10,5,12,7,11,11,15,19,22,56
313,Female,225,2003,5,12,8,5,10,6,10,15,13,16,25,54
314,Male,322,1995,4,16,10,3,9,7,15,17,13,16,32,61
315,Male,264,2000,2,14,10,5,11,6,11,12,15,17,23,55
316,Female,285,1998,5,17,12,7,18,8,14,14,19,26,28,73
317,Female,287,1998,3,17,9,7,16,7,10,12,16,23,22,61
318,Female,278,1998,12,15,5,4,12,4,9,7,9,16,16,41
319,Male,317,1995,9,18,6,10,16,9,7,8,16,25,15,56
320,Female,270,1999,8,16,10,9,13,8,10,10,19,21,20,60
321,Male,310,1996,4,15,9,7,14,7,13,12,16,21,25,62
322,Male,289,1998,1,15,12,7,18,7,15,8,19,25,23,67
323,Female,305,1996,9,18,11,4,13,10,14,16,15,23,30,68
324,Male,320,1995,6,16,11,9,17,8,10,11,20,25,21,66
325,Female,373,1991,1,15,6,6,19,9,16,11,12,28,27,67
326,Male,328,1994,10,16,10,5,11,6,15,12,15,17,27,59
327,Male,223,2003,7,12,12,7,15,9,11,10,19,24,21,64
328,Female,236,2002,6,13,7,11,23,11,13,10,18,34,23,75
329,Female,397,1989,1,19,14,8,22,5,12,18,22,27,30,79
330,Female,300,1997,2,18,10,5,13,7,14,12,15,20,26,61
331,Male,251,2001,3,12,10,6,12,7,12,13,16,19,25,60
332,Male,297,1997,5,15,8,5,15,8,10,11,13,23,21,57
333,Male,275,1999,3,15,9,4,8,6,13,9,13,14,22,49
334,Male,258,2000,8,13,11,7,16,6,16,17,18,22,33,73
335,Female,263,2000,3,14,12,9,14,8,15,15,21,22,30,73
336,Male,279,1998,11,15,11,5,14,8,16,12,16,22,28,66
337,Male,233,2002,9,14,9,10,17,6,8,8,19,23,16,58
338,Male,251,2001,3,14,11,8,19,9,15,14,19,28,29,76
339,Male,253,2001,1,14,13,9,14,8,16,11,22,22,27,71
340,Male,351,1992,11,17,8,10,17,8,12,8,18,25,20,63
341,Male,233,2002,9,14,7,9,14,6,12,9,16,20,21,57
342,Male,291,1997,11,18,13,7,12,9,14,12,20,21,26,67
343,Male,327,1994,11,16,9,7,12,6,10,10,16,18,20,54
344,Female,240,2002,2,14,13,9,13,4,10,12,22,17,22,61
345,Female,258,2000,8,15,10,5,14,8,17,8,15,22,25,62
346,Female,261,2000,5,15,11,5,12,7,14,16,16,19,30,65
347,Female,243,2001,11,15,8,6,19,7,16,13,14,26,29,69
348,Male,333,1994,5,16,8,9,12,7,9,5,17,19,14,50
